id,zone,area,averageDistanceKm,deliveryCost,customerDeliveryFee,freeDeliveryValue,createdAt,updatedAt,subArea
zone_1779175922505_oo095mabq,3,التجمع الخامس,21,40,40,900,2026-05-19 07:33:02.484+00,2026-06-16 12:45:25.234+00,كمبوند بلاجيو
zone_1779175922505_r9zjrf5yd,3,التجمع الخامس,22.8,40,40,900,2026-05-19 07:33:02.484+00,2026-06-16 12:45:25.234+00,فيفث سكوير
zone_1779175982484_mg2juyxz2,2,القطامية,28,75,75,900,2026-05-19 07:37:01.206+00,2026-06-16 12:45:25.234+00,فيلاج جاردنز
zone_1779176221206_4y3rs16cq,3,التجمع الخامس,24.8,40,40,900,2026-05-19 07:37:01.206+00,2026-06-16 12:45:25.234+00,تمر حنة
zone_1779176221206_gjx5txb6m,3,التجمع الخامس,25,40,40,900,2026-05-19 07:37:01.206+00,2026-06-16 12:45:25.234+00,كمبوند الديار ريزيدنس
zone_1779176221206_mbn5x42go,3,التجمع الخامس,25,40,40,900,2026-05-19 07:37:01.206+00,2026-06-16 12:45:25.234+00,جاليريا مون
zone_1779176221206_mjcwe35ob,3,التجمع الخامس,23,40,40,900,2026-05-19 07:37:01.206+00,2026-06-16 12:45:25.234+00,دار مصر الأندلس
zone_1779176221206_p6m0ld7aw,3,التجمع الخامس,23.2,40,40,900,2026-05-19 07:37:01.206+00,2026-06-16 12:45:25.234+00,لافونتين
zone_1779176221206_qxl65220z,3,التجمع الخامس,26,40,40,900,2026-05-19 07:37:01.206+00,2026-06-16 12:45:25.234+00,قرنفل هايتس
zone_1779176507217_1uz4fsdpc,3,التجمع الخامس,30,75,75,900,2026-05-19 07:41:47.217+00,2026-06-16 12:45:25.234+00,ماونتن فيو هايد بارك
zone_1779176507217_943advzrl,3,التجمع الخامس,27.4,75,75,900,2026-05-19 07:41:47.217+00,2026-06-16 12:45:25.234+00,كمبوند ليان
zone_1779176507217_c4mq17u0u,3,التجمع الخامس,28.8,75,75,900,2026-05-19 07:41:47.217+00,2026-06-16 12:45:25.234+00,أمورادا
zone_1779176507217_spx1iupi8,3,التجمع الخامس,26.2,40,40,900,2026-05-19 07:41:47.217+00,2026-06-16 12:45:25.234+00,دار مصر القرنفل
zone_1779176507217_wx73iloyy,3,التجمع الخامس,28.6,75,75,900,2026-05-19 07:41:47.217+00,2026-06-16 12:45:25.234+00,كمبوند سكوير
zone_1779176565571_f6bwmvb7a,2,القطامية,30,75,75,900,2026-05-19 07:42:45.571+00,2026-06-16 12:45:25.234+00,قطامية جاردنز
zone_1779176867748_670fn1a7n,4,التجمع الخامس,37.2,40,40,900,2026-05-19 07:47:47.748+00,2026-06-16 12:45:25.234+00,ستون بارك
zone_1779176867748_j3bbfwi4m,4,التجمع الخامس,35.4,75,75,900,2026-05-19 07:47:47.748+00,2026-06-16 12:45:25.234+00,الأكاديمية
zone_1779176867748_vzpqq8chg,4,التجمع الخامس,32,75,40,900,2026-05-19 07:47:47.748+00,2026-06-16 12:45:25.234+00,هايد بارك
zone_1779177347502_3mb0wjri1,4,هضبه و المقطم,36,75,75,900,2026-05-19 07:55:47.502+00,2026-06-16 12:45:25.234+00,البارون
zone_1779177347502_954zdym1h,4,هضبه و المقطم,36.8,85,85,1400,2026-05-19 07:55:47.502+00,2026-06-16 12:45:25.234+00,اب تاون
zone_1779177347502_bbas2pf56,4,هضبه و المقطم,36.6,75,75,900,2026-05-19 07:55:47.502+00,2026-06-16 12:45:25.234+00,فرسان
zone_1779177347502_cdud5bwrf,4,هضبه و المقطم,36.8,75,75,900,2026-05-19 07:55:47.502+00,2026-06-16 12:45:25.234+00,تبارك
zone_1779177347502_dpgqn8vz4,4,هضبه و المقطم,35.6,75,75,900,2026-05-19 07:55:47.502+00,2026-06-16 12:45:25.234+00,بفاريا
zone_1779177347502_hc984rue4,4,هضبه و المقطم,35,75,75,900,2026-05-19 07:55:47.502+00,2026-06-16 12:45:25.234+00,ابراج سما
zone_1779177347502_mmhfjwl11,4,التجمع الخامس,37.6,75,75,900,2026-05-19 07:55:47.502+00,2026-06-16 12:45:25.234+00,ايست نيو كايرو
zone_1779177450007_lh1ne4vis,4,التجمع الخامس,39.6,40,40,900,2026-05-19 07:57:30.007+00,2026-06-16 12:45:25.234+00,بالم هيلز
zone_1779177791945_5mtiv9rxc,4,زهراء  المعادى,37.6,75,75,900,2026-05-19 08:03:11.945+00,2026-06-16 12:45:25.234+00,تيجان
zone_1779177791945_jvuisocrz,4,زهراء  المعادى,37.6,75,75,900,2026-05-19 08:03:11.945+00,2026-06-16 12:45:25.234+00,بيتشو
zone_1779177791945_qq5znvgtb,4,زهراء  المعادى,37.4,60,60,900,2026-05-19 08:03:11.945+00,2026-06-16 12:45:25.234+00,المعراج العلوي
zone_1779177918932_8bnkeft8g,4,زهراء  المعادى,44,60,60,900,2026-05-19 08:05:18.932+00,2026-06-16 12:45:25.234+00,المعراج السفلي
zone_1779178087568_2a4wqs5az,4,زهراء  المعادى,41.4,75,75,900,2026-05-19 08:08:07.567+00,2026-06-16 12:45:25.234+00,دجله
zone_1779178087568_flihgsm2i,4,زهراء  المعادى,40.8,75,75,900,2026-05-19 08:08:07.567+00,2026-06-16 12:45:25.234+00,اشجار دارنا
zone_1779178686842_0sk38914q,5,مصر الجديده,48.8,85,85,1800,2026-05-19 08:18:06.841+00,2026-06-16 12:45:25.234+00,القبة
zone_1779178686842_2jh74mbkj,5,مصر الجديده,49.2,85,85,1800,2026-05-19 08:18:06.841+00,2026-06-16 12:45:25.234+00,ألف مسكن
zone_1779178686842_7za073t34,5,مصر الجديده,49.8,85,85,1800,2026-05-19 08:18:06.841+00,2026-06-16 12:45:25.234+00,سرايا القبة
zone_1779178686842_b29lebp9l,5,مصر الجديده,45.4,85,85,1800,2026-05-19 08:18:06.841+00,2026-06-16 12:45:25.234+00,روكسي
